customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,0.0,1,0,-1.2774445836787656,0,1,-1.1603229160349193,-2.2627108534000056,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
5575-GNVDE,1,0.0,0,0,0.06632741908223598,1,0,-0.2596289419448806,0.3910100222310366,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
3668-QPYBK,1,0.0,0,0,-1.2367242199587352,1,1,-0.3626603559551803,-1.447928172340061,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
7795-CFOCW,1,0.0,0,0,0.5142514200025698,0,0,-0.7465354629935549,0.37416407411985886,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
9237-HQITU,0,0.0,0,0,-1.2367242199587352,1,1,0.19736523310080326,-1.2316404701833499,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9305-CDSKC,0,0.0,0,0,-0.9924020376385531,1,1,1.1595456961969886,-0.14642265946579877,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1452-KIOVK,1,0.0,0,1,-0.4223169455581282,1,1,0.8089065291619363,0.41112390430780976,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
6713-OKOMC,0,0.0,0,0,-0.9109613101984924,0,0,-1.1636465100352518,-0.7897760001822582,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7892-POOKP,0,0.0,1,0,-0.1779947632379461,1,1,1.330710787214099,0.6988024516870424,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
6388-TABGU,1,0.0,0,1,1.2064976032430856,1,0,-0.28621769394753876,0.7861281117226322,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
9763-GRSKD,1,0.0,1,1,-0.7888002190384014,1,1,-0.4922805219681379,-0.3615595814601243,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7469-LKBCI,1,0.0,0,0,-0.6666391278783103,1,0,-1.5225946620711341,-0.7388347999016897,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
8091-TTVAX,1,0.0,1,0,1.0436161483629645,1,0,1.182810854199314,1.1006185749320805,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
0280-XJGEX,1,0.0,0,0,0.6771328748826912,1,1,1.2941512532104444,1.0229498728401918,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
5129-JLPIS,1,0.0,0,0,-0.30015585439803716,1,1,1.3539759452164248,0.6177295554943674,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
3655-SNQYZ,0,0.0,1,1,1.4915401492832983,1,0,1.611554480242174,1.3127986472526736,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
8191-XWSZG,0,0.0,0,0,0.7992939660427822,1,0,-1.4660935640654862,-0.004375124941296204,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
9959-WOFKT,1,0.0,0,1,1.5729808767233588,1,0,1.393859073220412,1.2694918101326362,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
4190-MFLUW,0,0.0,1,1,-0.9109613101984924,1,0,-0.31779183695069496,-0.42980844276829444,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
4183-MYFRB,0,0.0,0,0,-0.46303730927815856,1,1,0.8404806721650927,0.3818727781263057,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
8779-QRDMV,1,1.0,0,0,-1.2774445836787656,0,1,-0.8346107040023594,-2.084830130939115,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1680-VDCWW,1,0.0,1,0,-0.8295205827584317,1,0,-1.4943441130683104,-1.047036271181173,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1066-JKSGK,1,0.0,0,0,-1.2774445836787656,1,0,-1.4827115340671475,-2.5061274553366903,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
3638-WEABW,0,0.0,1,0,1.0436161483629645,1,1,-0.1615829189350795,0.7892899600736282,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
6322-HRPFA,1,0.0,1,1,0.6771328748826912,1,0,-0.17155370093607614,0.6825695934232701,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
6865-JZNKO,0,0.0,0,0,-0.0965540357978854,1,1,-0.31446824295036285,0.2552576064308109,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6467-CHFZW,1,0.0,1,1,0.5956921474426305,1,1,1.1495749141959914,0.9851029319056379,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
8665-UTDHZ,1,0.0,1,1,-1.2774445836787656,0,0,-1.1486903370337564,-2.2554364441642445,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
5248-YGIJN,1,0.0,1,0,1.6137012404433893,1,1,0.8471278601657574,1.1743529674099373,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
8773-HHUOZ,0,0.0,0,1,-0.62591876415828,1,1,-0.0020504069191315333,0.03835333168023041,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
3841-NFECX,0,1.0,1,0,1.5729808767233588,1,1,1.0498670941860242,1.2133825657419097,0,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
4929-XIHVW,1,1.0,1,0,-1.2367242199587352,1,1,1.0216165451832002,-1.1159446987576151,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
6827-IEAUQ,0,0.0,1,1,-0.21871512695797646,1,0,0.046141706085686136,0.3858561799117553,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True
7310-EGVHZ,1,0.0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-2.504604862941073,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
3413-BMNZE,1,1.0,0,0,-1.2774445836787656,1,0,-0.6484894399837535,-2.0016082795143957,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6234-RAAPL,0,0.0,1,1,1.6137012404433893,1,0,1.1678546811978192,1.2579881950295306,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
6047-YHPVI,1,0.0,0,0,-1.1145631287986442,1,1,0.16412929309748078,-0.7586092906259253,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6572-ADKRS,0,0.0,0,0,0.5549717837226001,1,1,0.33363258711442517,0.7971864556874473,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
5380-WJKOV,1,0.0,0,0,0.06632741908223598,1,1,1.3822264942192488,0.7973590234430377,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
8168-UQWWF,0,0.0,0,0,-0.8702409464784621,1,1,1.099721004191008,0.04556200137925371,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
8865-TNMNX,1,0.0,1,1,-0.9109613101984924,1,0,-0.5055748979694671,-0.4973611293841367,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
9489-DEDVP,0,0.0,1,1,1.5322605130033284,1,1,0.14751132309581955,1.0016137369546194,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
9867-JCZSP,0,0.0,1,1,-0.62591876415828,1,0,-1.462769970065154,-0.580168578179246,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
4671-VJLCL,0,0.0,0,0,1.247217966963116,1,1,0.5014740841312035,1.000169887541528,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
4080-IIARD,0,0.0,1,0,-0.7888002190384014,1,1,0.3801629031190768,-0.031053500830780657,0,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
3714-NTNFO,0,0.0,0,0,0.6771328748826912,1,1,0.6560212051466532,0.8592169813575711,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
5948-UJZLF,1,0.0,0,0,-1.2367242199587352,1,0,-0.5155456799704636,-1.517410880346025,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
7760-OYPDY,0,0.0,0,0,-1.2367242199587352,1,1,0.5280628361338618,-1.2641263983735527,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
7639-LIAYI,1,0.0,0,0,0.7992939660427822,1,1,0.4981504901308714,0.9086111440175649,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False
2954-PIBKO,0,0.0,1,1,1.4915401492832983,1,1,-0.020330173920958795,0.914135641906117,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
8012-SOUDQ,0,1.0,0,0,0.43281069256250915,1,1,0.8471278601657574,0.8479057813907364,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
9420-LOJKX,0,0.0,0,0,-0.7073594915983407,1,1,1.141265929195161,0.20982483461654086,1,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
6575-SUVOI,0,1.0,1,0,-0.30015585439803716,1,1,0.1574821050968162,0.3425571304763654,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
7495-OOKFY,0,1.0,1,0,-0.9924020376385531,1,1,0.5280628361338618,-0.3131788750306397,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
4667-QONEA,0,1.0,1,1,1.125056875803025,1,1,0.33529438411459117,0.9440784913349639,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False
1658-BYGOY,1,1.0,0,0,-0.5851984004382496,1,1,1.0199547481830342,0.3425203594008569,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
8769-KKTPH,0,0.0,1,1,1.247217966963116,1,1,1.1595456961969886,1.1684297749944863,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
5067-XJQFU,1,1.0,1,1,1.369379058123207,1,1,1.4520219682262263,1.24220675581526,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
3957-SQXML,0,0.0,1,1,0.06632741908223598,1,0,-1.3231790220511994,-0.09095098899681835,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
5954-BDFSG,0,0.0,0,0,1.6137012404433893,1,1,1.42044782522307,1.309404830361754,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
0434-CSFON,0,0.0,1,0,0.5956921474426305,1,1,1.1877962451998125,0.9793693643040127,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1215-FIGMP,1,0.0,0,0,1.125056875803025,1,1,0.8354952811645946,1.0739273854512947,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0526-SXDJP,1,0.0,1,0,1.6137012404433893,0,0,-0.7531826509942192,0.6807658459203185,0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0557-ASKVU,0,0.0,1,1,-0.5851984004382496,1,1,-0.34438058895335305,-0.04723667798877321,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
5698-BQJOH,0,0.0,0,0,-0.9516816739185228,1,0,0.9850570111795457,-0.11820318862018885,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
5122-CYFXA,0,0.0,0,0,-1.1960038562387048,1,1,0.3502505571160864,-0.9263073709471874,0,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
8627-ZYGSZ,1,0.0,1,0,0.5956921474426305,1,1,0.46989994112804756,0.8154648167316407,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
3410-YOQBQ,0,0.0,0,0,-0.055833672077855064,1,0,0.47987072312904416,0.5707394641360166,0,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
3170-NMYVV,0,0.0,1,1,0.7178532386027215,1,0,-1.4827115340671475,-0.06511530538577516,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
7410-OIEDU,1,0.0,0,0,-0.9109613101984924,1,1,0.5014740841312035,-0.09597608345053435,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2273-QCKXA,1,0.0,0,0,-1.2774445836787656,1,0,-0.5221928679711283,-1.9506928116296496,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0731-EBJQB,0,0.0,1,1,0.7992939660427822,1,1,-1.4744025490663168,0.03690778325751236,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1891-QRQSA,1,1.0,1,1,1.2879383306831464,1,1,1.5567151792366918,1.2442671028634182,0,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
8028-PNXHQ,1,0.0,1,1,1.2064976032430856,1,1,-1.3464441800535252,0.20901118456544104,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
5630-AHZIL,0,0.0,0,1,-1.1960038562387048,1,1,-0.00869759491979612,-1.1311259827913946,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2673-CXQEU,0,1.0,0,0,0.9621754209229036,1,0,1.5201556452330371,1.1506469334524279,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
6416-JNVRK,0,0.0,0,0,0.5549717837226001,1,0,-0.3028356639492,0.6184011281057349,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
5590-ZSKRV,0,0.0,1,1,-0.9924020376385531,1,0,-0.33607160395252245,-0.4885614612850844,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0191-ZHSKZ,1,1.0,0,0,-0.0965540357978854,1,1,0.3319707901142591,0.4625435419449095,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
3887-PBQAO,0,0.0,1,1,0.5142514200025698,1,1,-1.2916048790480432,0.10731631433048404,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
5919-TMRGD,0,0.0,0,1,-1.2774445836787656,1,1,0.48485611412954227,-1.6454557804960703,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
8108-UXRQN,0,0.0,1,1,-0.8702409464784621,0,0,-0.47233895796614456,-0.38624300476660856,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
9191-MYQKX,0,0.0,1,0,-1.0331224013585834,1,1,0.34526516611558833,-0.4693038968489284,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9919-YLNNG,0,0.0,0,0,0.3920903288424788,1,1,1.2974748472107767,0.9251638268270498,0,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0318-ZOPWS,0,0.0,1,0,0.6771328748826912,1,1,-1.4827115340671475,-0.03639186165406219,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
4445-ZJNMU,1,0.0,0,0,-0.9516816739185228,1,1,1.1479131171958254,-0.0735776455047711,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
4808-YNLEU,0,0.0,1,0,0.10704778280226633,1,1,-0.08680205392760396,0.49357823526848177,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1862-QRWPE,0,0.0,1,1,0.6364125111626608,1,0,-1.4660935640654862,0.016718557925297323,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
2796-NNUFI,0,0.0,1,1,0.5549717837226001,1,1,-1.4893587220678117,-0.06775004755016603,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
3016-KSVCP,1,0.0,1,0,-0.13727439951791576,0,0,-1.0307027500219619,-0.013060735415177365,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
4767-HZZHQ,1,0.0,1,1,-0.0965540357978854,1,0,0.574593152138513,0.5893116570551895,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
2424-WVHPL,1,1.0,0,0,-1.2774445836787656,1,0,0.3303089931140931,-1.6838958916913858,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
